Repository,PR Count,Sample Size,ChatGPT Size
coderdojo-japan/coderdojo.jp,5.0,5.0,1
Ludeon/RimWorld-ru,5.0,5.0,1
monarch-initiative/oai-monarch-plugin,4.0,4.0,1
energietransitie/twomes-p1-reader-firmware,4.0,4.0,1
citusdata/activerecord-multi-tenant,4.0,4.0,1
ECMaker/blog,4.0,4.0,1
internetarchive/iaux-collection-browser,3.0,3.0,1
poki/netlib,3.0,3.0,1
hoshotakamoto/banzukesurfing,3.0,3.0,15
tsenart/vegeta,3.0,3.0,1
bbelderbos/htmx-demo,3.0,3.0,1
telosnetwork/open-block-explorer,3.0,3.0,1
Email-Generation/email_generation,2.0,2.0,1
IararIV/karaok.ai,2.0,2.0,1
daeuniverse/dae-wing,2.0,2.0,1
cucumber/docs,2.0,2.0,1
simonw/llm,2.0,2.0,1
Stivaros/blog,2.0,2.0,1
aemartinez/gpt-latex-translator,2.0,2.0,1
MatrixAI/Polykey,2.0,2.0,1
ActivityWatch/aw-webui,2.0,2.0,1
VOICEVOX/voicevox_engine,2.0,2.0,1
fscarmen2/Argo-Nezha-Service-Container,2.0,2.0,1
daydule/frontend,2.0,2.0,1
gcarlos64/linux,2.0,2.0,1
MERLTech/MERL-Center-public,2.0,2.0,1
Sambath-Kumar-M/Portfolio,1.0,1.0,1
tic-oss/jhipster-blueprints,1.0,1.0,1
4dn-dcic/foursight-core,1.0,1.0,1
Altinity/clickhouse-backup,1.0,1.0,1
Ayahiro-Inatsugu/ph3-website-private,1.0,1.0,1
millwheel/delivery-application,1.0,1.0,1
nickbabcock/OhmGraphite,1.0,1.0,1
FlorianWoelki/obsidian-symbols-prettifier,,,1
mlc-ai/web-stable-diffusion,,,1
metaphorsystems/metaphor-python,,,1
MikaelJG/textract,,,1
plantoncloud/kube-client-go-aws-credential-plugin,,,1
dantebarbieri/pi-picture-frame,,,1
chitalian/gptask,,,1
bancaditalia/black-it,,,1
AGnias47/AGnias47.github.io,,,1
mcagov/beacons,,,1
VOICEVOX/pyopenjtalk,,,1
Wissididom/Bonbon-Reminder-StreamElements,,,1
FixMyBerlin/atlas-app,,,1
laravel-json-api/core,,,1
jefftriplett/frontmatter-cli,,,1
ryoikegata/template-ph3-website,,,1
StreamSG/ABCWorkshop,,,1
HinanoOno/template-ph3-website,,,1
