ChatGPT PR,Non-ChatGPT PR
https://github.com/gcarlos64/linux/pull/4,https://github.com/gcarlos64/linux/pull/5
https://github.com/qin-team-recipe/05-recipe-app/pull/62,https://github.com/qin-team-recipe/05-recipe-app/pull/74
https://github.com/KudoAI/chatgpt.js/pull/92,https://github.com/KudoAI/chatgpt.js/pull/74
https://github.com/daydule/frontend/pull/35,https://github.com/daydule/frontend/pull/33
https://github.com/Ayahiro-Inatsugu/ph3-website-private/pull/4,https://github.com/Ayahiro-Inatsugu/ph3-website-private/pull/2
https://github.com/VOICEVOX/voicevox/pull/1384,https://github.com/VOICEVOX/voicevox/pull/1378
https://github.com/VOICEVOX/voicevox/pull/1470,https://github.com/VOICEVOX/voicevox/pull/1400
https://github.com/VOICEVOX/voicevox/pull/1404,https://github.com/VOICEVOX/voicevox/pull/1443
https://github.com/VOICEVOX/voicevox/pull/1492,https://github.com/VOICEVOX/voicevox/pull/1364
https://github.com/ggerganov/llama.cpp/pull/1775,https://github.com/ggerganov/llama.cpp/pull/1762
https://github.com/ggerganov/llama.cpp/pull/1807,https://github.com/ggerganov/llama.cpp/pull/1862
https://github.com/ggerganov/llama.cpp/pull/1684,https://github.com/ggerganov/llama.cpp/pull/1632
https://github.com/telosnetwork/open-block-explorer/pull/712,https://github.com/telosnetwork/open-block-explorer/pull/710
https://github.com/lfortran/lfortran/pull/1788,https://github.com/lfortran/lfortran/pull/1805
https://github.com/dust-tt/dust/pull/508,https://github.com/dust-tt/dust/pull/487
https://github.com/wafflestudio/wacruit-server/pull/26,https://github.com/wafflestudio/wacruit-server/pull/11
https://github.com/skrub-data/skrub/pull/581,https://github.com/skrub-data/skrub/pull/582
https://github.com/bytedeck/bytedeck/pull/1451,https://github.com/bytedeck/bytedeck/pull/1447
https://github.com/Ludeon/RimWorld-ru/pull/1571,https://github.com/Ludeon/RimWorld-ru/pull/1575
https://github.com/databrickslabs/pyspark-ai/pull/1,https://github.com/pyspark-ai/pyspark-ai/pull/11
https://github.com/kazuki1023/template_ph3_website_private/pull/16,https://github.com/kazuki1023/template_ph3_website_private/pull/10
https://github.com/faker-js/faker/pull/2230,https://github.com/faker-js/faker/pull/2240
https://github.com/PostHog/posthog.com/pull/6456,https://github.com/PostHog/posthog.com/pull/6444
https://github.com/PolicyEngine/policyengine-us/pull/2764,https://github.com/PolicyEngine/policyengine-us/pull/2693
https://github.com/snapshot-labs/snapshot/pull/3937,https://github.com/snapshot-labs/snapshot/pull/3942
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/91,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/81
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/92,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/83
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/84,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/89
https://github.com/internetarchive/iaux-collection-browser/pull/261,https://github.com/internetarchive/iaux-collection-browser/pull/259
https://github.com/PaulRBerg/prb-proxy/pull/119,https://github.com/PaulRBerg/prb-proxy/pull/117
https://github.com/rails/rails/pull/48576,https://github.com/rails/rails/pull/48607
https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor/pull/30,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor/pull/17
https://github.com/fscarmen2/Argo-Nezha-Service-Container/pull/23,https://github.com/fscarmen2/Argo-Nezha-Service-Container/pull/25
https://github.com/binary-com/deriv-app/pull/9007,https://github.com/binary-com/deriv-app/pull/9010
https://github.com/OpenAdaptAI/OpenAdapt/pull/228,https://github.com/OpenAdaptAI/OpenAdapt/pull/226
https://github.com/VOICEVOX/voicevox_engine/pull/716,https://github.com/VOICEVOX/voicevox_engine/pull/715
https://github.com/nickbabcock/OhmGraphite/pull/379,https://github.com/nickbabcock/OhmGraphite/pull/378
https://github.com/openai/evals/pull/771,https://github.com/openai/evals/pull/1004
https://github.com/openai/evals/pull/1083,https://github.com/openai/evals/pull/764
https://github.com/VOICEVOX/voicevox_core/pull/555,https://github.com/VOICEVOX/voicevox_core/pull/534
https://github.com/VOICEVOX/voicevox_core/pull/532,https://github.com/VOICEVOX/voicevox_core/pull/553
https://github.com/VOICEVOX/voicevox_core/pull/538,https://github.com/VOICEVOX/voicevox_core/pull/558
https://github.com/unoplatform/uno/pull/12428,https://github.com/unoplatform/uno/pull/12440
https://github.com/4dn-dcic/foursight-core/pull/50,https://github.com/4dn-dcic/foursight-core/pull/49
https://github.com/wahanegi/vibereport/pull/64,https://github.com/wahanegi/vibereport/pull/57
https://github.com/simonw/llm/pull/65,https://github.com/simonw/llm/pull/66
https://github.com/mindee/doctr/pull/1205,https://github.com/mindee/doctr/pull/1210
https://github.com/xebia-functional/xef/pull/343,https://github.com/xebia-functional/xef/pull/327
https://github.com/tisztamo/Junior/pull/55,https://github.com/tisztamo/Junior/pull/48
https://github.com/tisztamo/Junior/pull/36,https://github.com/tisztamo/Junior/pull/50
https://github.com/Email-Generation/email_generation/pull/2,https://github.com/Email-Generation/email_generation/pull/5
https://github.com/jojazpeitia/skinguessr/pull/11,https://github.com/jojazpeitia/skinguessr/pull/24
https://github.com/sleepyRias/BetterSteam/pull/76,https://github.com/sleepyRias/BetterSteam/pull/66
https://github.com/bbelderbos/htmx-demo/pull/2,https://github.com/bbelderbos/htmx-demo/pull/1
https://github.com/app-sre/qontract-reconcile/pull/3630,https://github.com/app-sre/qontract-reconcile/pull/3639
https://github.com/zkSNACKs/WalletWasabi/pull/11281,https://github.com/zkSNACKs/WalletWasabi/pull/11298
https://github.com/netdata/netdata/pull/15455,https://github.com/netdata/netdata/pull/15418
https://github.com/tsenart/vegeta/pull/638,https://github.com/tsenart/vegeta/pull/636
https://github.com/Miller-RS/DistributedMiningNetwork/pull/8,https://github.com/Miller-RS/DistributedMiningNetwork/pull/10
https://github.com/dswcodes0/StatChat/pull/30,https://github.com/dswcodes0/StatChat/pull/29
https://github.com/MrNeRF/gaussian-splatting-cuda/pull/23,https://github.com/MrNeRF/gaussian-splatting-cuda/pull/18
https://github.com/SSWConsulting/SSW.Website/pull/1284,https://github.com/SSWConsulting/SSW.Website/pull/1134
https://github.com/reworkd/AgentGPT/pull/897,https://github.com/reworkd/AgentGPT/pull/941
https://github.com/danny-avila/LibreChat/pull/756,https://github.com/danny-avila/LibreChat/pull/747
https://github.com/ubiquity/ubiquity-dollar/pull/724,https://github.com/ubiquity/ubiquity-dollar/pull/717
https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://github.com/citusdata/activerecord-multi-tenant/pull/201
https://github.com/dwyl/imgup/pull/64,https://github.com/dwyl/imgup/pull/65
https://github.com/OSRSB/OsrsBot/pull/301,https://github.com/OSRSB/OsrsBot/pull/296
https://github.com/picobyte/stable-diffusion-webui-wd14-tagger/pull/4,https://github.com/picobyte/stable-diffusion-webui-wd14-tagger/pull/6
https://github.com/mdn/content/pull/27070,https://github.com/mdn/content/pull/27101
https://github.com/astahmer/openapi-zod-client/pull/151,https://github.com/astahmer/openapi-zod-client/pull/154
https://github.com/jhipster/generator-jhipster/pull/22429,https://github.com/jhipster/generator-jhipster/pull/22452
https://github.com/roboflow/supervision/pull/177,https://github.com/roboflow/supervision/pull/171
https://github.com/sashabaranov/go-openai/pull/377,https://github.com/sashabaranov/go-openai/pull/354
https://github.com/torrust/torrust-index-frontend/pull/185,https://github.com/torrust/torrust-index-gui/pull/179
https://github.com/rust-lang/rfcs/pull/3463,https://github.com/rust-lang/rfcs/pull/3464
https://github.com/VOICEVOX/voicevox/pull/1374,https://github.com/VOICEVOX/voicevox/pull/1448
https://github.com/KomodoPlatform/komodo-wallet-mobile/pull/37,https://github.com/KomodoPlatform/komodo-wallet-mobile/pull/41
https://github.com/SSWConsulting/SSW.Rules.Content/pull/6250,https://github.com/SSWConsulting/SSW.Rules.Content/pull/6238
https://github.com/aemartinez/gpt-latex-translator/pull/2,https://github.com/aemartinez/gpt-latex-translator/pull/1
https://github.com/Hochfrequenz/kohlrahbi/pull/158,https://github.com/Hochfrequenz/kohlrahbi/pull/159
https://github.com/RND247/Pype-Synthetic-Data-for-Testing/pull/16,https://github.com/RND247/Pype-Synthetic-Data-for-Testing/pull/26
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/82,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/90
https://github.com/MatrixAI/Polykey/pull/552,https://github.com/MatrixAI/Polykey/pull/555
https://github.com/ubiquity/ubiquibot/pull/608,https://github.com/ubiquity/ubiquibot/pull/604
https://github.com/poki/netlib/pull/50,https://github.com/poki/netlib/pull/51
https://github.com/konfuzio-ai/konfuzio-sdk/pull/296,https://github.com/konfuzio-ai/konfuzio-sdk/pull/295
https://github.com/jst-seminar-rostlab-tum/truffle-ai-backend/pull/52,https://github.com/viets-software-club/truffle-ai-backend/pull/47
https://github.com/arrocke/gloss-translation/pull/114,https://github.com/arrocke/gloss-translation/pull/118
https://github.com/paul-gauthier/aider/pull/119,https://github.com/paul-gauthier/aider/pull/144
https://github.com/GaloyMoney/galoy-mobile/pull/2361,https://github.com/GaloyMoney/galoy-mobile/pull/2381
https://github.com/dotCMS/core/pull/25432,https://github.com/dotCMS/core/pull/25470
https://github.com/gravitational/teleport/pull/19316,https://github.com/gravitational/teleport/pull/19258
https://github.com/netdata/netdata/pull/15485,https://github.com/netdata/netdata/pull/15519
https://github.com/nbd-wtf/nostr-tools/pull/241,https://github.com/nbd-wtf/nostr-tools/pull/244
https://github.com/gradio-app/gradio/pull/5179,https://github.com/gradio-app/gradio/pull/5119
https://github.com/osmosis-labs/osmosis-frontend/pull/1936,https://github.com/osmosis-labs/osmosis-frontend/pull/1942
https://github.com/daeuniverse/dae/pull/300,https://github.com/daeuniverse/dae/pull/305
https://github.com/swarmion/swarmion/pull/678,https://github.com/swarmion/swarmion/pull/679
https://github.com/SWM14-Architect/moview-core-service/pull/12,https://github.com/SWM14-Architect/moview-core-service/pull/28
https://github.com/CodeIntelligenceTesting/cifuzz/pull/838,https://github.com/CodeIntelligenceTesting/cifuzz/pull/834
https://github.com/decred/dcrdex/pull/2333,https://github.com/decred/dcrdex/pull/2323
https://github.com/hoshotakamoto/banzukesurfing/pull/4,https://github.com/hoshotakamoto/banzukesurfing/pull/15
https://github.com/hoshotakamoto/banzukesurfing/pull/12,https://github.com/hoshotakamoto/banzukesurfing/pull/18
https://github.com/hoshotakamoto/banzukesurfing/pull/9,https://github.com/hoshotakamoto/banzukesurfing/pull/10
https://github.com/tic-oss/jhipster-blueprints/pull/7, https://github.com/tic-oss/jhipster-blueprints/pull/30
https://github.com/Altinity/clickhouse-backup/pull/648,https://github.com/Altinity/clickhouse-backup/pull/687
https://github.com/ActivityWatch/aw-webui/pull/455,https://github.com/ActivityWatch/aw-webui/pull/448
https://github.com/open-learning-exchange/myplanet/pull/2230,https://github.com/open-learning-exchange/myplanet/pull/2205
https://github.com/open-learning-exchange/myplanet/pull/2212,https://github.com/open-learning-exchange/myplanet/pull/2259
https://github.com/open-learning-exchange/myplanet/pull/2234,https://github.com/open-learning-exchange/myplanet/pull/2209
https://github.com/open-learning-exchange/myplanet/pull/2215,https://github.com/open-learning-exchange/myplanet/pull/2292
https://github.com/cucumber/docs/pull/890,https://github.com/cucumber/docs/pull/911
https://github.com/open-learning-exchange/myplanet/pull/2232,https://github.com/open-learning-exchange/myplanet/pull/2184
https://github.com/open-learning-exchange/myplanet/pull/2231,https://github.com/open-learning-exchange/myplanet/pull/2302
https://github.com/energietransitie/twomes-p1-reader-firmware/pull/2,https://github.com/energietransitie/twomes-p1-reader-firmware/pull/18
https://github.com/coderdojo-japan/coderdojo.jp/pull/1543,https://github.com/coderdojo-japan/coderdojo.jp/pull/1540
https://github.com/JJConsulting/JJMasterData/pull/131,https://github.com/JJConsulting/JJMasterData/pull/143
https://github.com/labd/terraform-provider-storyblok/pull/9,https://github.com/labd/terraform-provider-storyblok/pull/39
https://github.com/PrivateBin/PrivateBin/pull/1134,https://github.com/PrivateBin/PrivateBin/pull/823
https://github.com/mlc-ai/web-stable-diffusion/pull/52,https://github.com/mlc-ai/web-stable-diffusion/pull/51
https://github.com/metaphorsystems/metaphor-python/pull/5,https://github.com/metaphorsystems/metaphor-python/pull/3
https://github.com/bancaditalia/black-it/pull/58,https://github.com/bancaditalia/black-it/pull/63
https://github.com/mcagov/beacons/pull/539,https://github.com/mcagov/beacons/pull/534
https://github.com/VOICEVOX/pyopenjtalk/pull/18,https://github.com/VOICEVOX/pyopenjtalk/pull/20
https://github.com/Wissididom/Bonbon-Reminder-StreamElements/pull/1,https://github.com/Wissididom/Bonbon-Reminder-StreamElements/pull/2
https://github.com/FixMyBerlin/atlas-app/pull/45,https://github.com/FixMyBerlin/atlas-app/pull/40
https://github.com/laravel-json-api/core/pull/12,https://github.com/laravel-json-api/core/pull/11
https://github.com/jefftriplett/frontmatter-cli/pull/6,https://github.com/jefftriplett/frontmatter-cli/pull/1
https://github.com/ryoikegata/template-ph3-website/pull/1,https://github.com/ryoikegata/template-ph3-website/pull/2
https://github.com/StreamSG/ABCWorkshop/pull/38,https://github.com/StreamSG/ABCWorkshop/pull/36
