Repository,PR Number,PR URL,Created At,Merged At,Merge Time
daeuniverse/dae,305,https://github.com/daeuniverse/dae/pull/305,2023-08-30T16:51:45,2023-09-02T07:06:50,62:15:05
microsoft/visionmetrics,39,https://github.com/microsoft/visionmetrics/pull/39,2023-08-14T16:47:10,2023-08-14T19:40:20,02:53:10
IararIV/karaok.ai,3,https://github.com/IararIV/karaok.ai/pull/3,2023-07-22T14:45:46,2023-07-22T14:45:56,00:00:10
PYT-Acadamy/PYT-Acadamy.github.io,13,https://github.com/PYT-Acadamy/PYT-Acadamy.github.io/pull/13,2023-07-20T21:30:15,2023-07-20T21:30:52,00:00:37
Email-Generation/email_generation,5,https://github.com/Email-Generation/email_generation/pull/5,2023-08-17T05:06:28,2023-09-05T01:44:25,452:37:57
jojazpeitia/skinguessr,24,https://github.com/jojazpeitia/skinguessr/pull/24,2023-07-25T19:05:24,2023-07-25T19:06:05,00:00:41
sleepyRias/BetterSteam,66,https://github.com/sleepyRias/BetterSteam/pull/66,2023-07-17T12:17:32,2023-07-17T12:18:35,00:01:03
radix-vue/radix-vue,48,https://github.com/radix-vue/radix-vue/pull/48,2023-06-25T01:04:05,2023-06-25T01:04:25,00:00:20
GaloyMoney/galoy-mobile,2371,https://github.com/GaloyMoney/galoy-mobile/pull/2371,2023-06-20T19:22:50,2023-06-20T19:35:36,00:12:46
GaloyMoney/galoy-mobile,2381,https://github.com/GaloyMoney/galoy-mobile/pull/2381,2023-06-22T07:44:15,2023-06-24T11:20:45,51:36:30
bbelderbos/htmx-demo,1,https://github.com/bbelderbos/htmx-demo/pull/1,2023-07-18T16:21:06,2023-07-18T16:21:56,00:00:50
sarcophagus-org/sarcophagus-v2-sdk,26,https://github.com/sarcophagus-org/sarcophagus-v2-sdk/pull/26,2023-06-09T20:17:36,2023-06-09T20:19:31,00:01:55
aemartinez/gpt-latex-translator,1,https://github.com/aemartinez/gpt-latex-translator/pull/1,2023-07-07T17:13:00,2023-07-07T19:37:38,02:24:38
Feijai/Lunar,44,https://github.com/Feijai/Lunar/pull/44,2023-06-19T14:37:29,2023-06-20T01:41:56,11:04:27
ECMaker/blog,26,https://github.com/ECMaker/blog/pull/26,2023-07-16T06:36:50,2023-07-16T06:37:24,00:00:34
app-sre/qontract-reconcile,3639,https://github.com/app-sre/qontract-reconcile/pull/3639,2023-07-04T15:36:50,2023-07-05T12:07:38,20:30:48
mlhmz/family-task-tracking,86,https://github.com/mlhmz/family-task-tracking/pull/86,2023-06-15T12:04:41,2023-06-15T12:07:54,00:03:13
TeamCodeStream/codestream,1632,https://github.com/TeamCodeStream/codestream/pull/1632,2023-07-22T03:46:20,2023-08-01T22:42:20,258:56:00
konfuzio-ai/konfuzio-sdk,295,https://github.com/konfuzio-ai/konfuzio-sdk/pull/295,2023-05-16T16:00:14,2023-06-19T09:28:41,809:28:27
huseyinbagator/react-demo-todo-app,5,https://github.com/huseyinbagator/react-demo-todo-app/pull/5,2023-07-09T14:50:18,2023-07-11T09:14:38,42:24:20
coderdojo-japan/coderdojo.jp,1540,https://github.com/coderdojo-japan/coderdojo.jp/pull/1540,2023-06-30T14:17:48,2023-07-04T06:36:16,88:18:28
livingbio/gpt-fn,37,https://github.com/livingbio/gpt-fn/pull/37,2023-06-13T08:59:06,2023-06-13T08:59:15,00:00:09
code-in-design/pass-frontend,20,https://github.com/code-in-design/pass-frontend/pull/20,2023-06-29T06:53:49,2023-06-30T07:28:04,24:34:15
Hochfrequenz/kohlrahbi,159,https://github.com/Hochfrequenz/kohlrahbi/pull/159,2023-07-24T06:16:04,2023-07-24T11:46:37,05:30:33
netdata/netdata,15519,https://github.com/netdata/netdata/pull/15519,2023-07-25T10:23:29,2023-07-25T16:53:28,06:29:59
Miller-RS/DistributedMiningNetwork,10,https://github.com/Miller-RS/DistributedMiningNetwork/pull/10,2023-06-21T03:40:02,2023-06-21T07:27:47,03:47:45
monarch-initiative/oai-monarch-plugin,38,https://github.com/monarch-initiative/oai-monarch-plugin/pull/38,2023-06-21T03:32:10,2023-06-21T03:32:19,00:00:09
lcompilers/lpython,1902,https://github.com/lcompilers/lpython/pull/1902,2023-06-13T19:30:39,2023-06-13T20:47:07,01:16:28
dswcodes0/StatChat,29,https://github.com/dswcodes0/StatChat/pull/29,2023-08-09T22:16:31,2023-08-09T23:34:38,01:18:07
bloxapp/ssv-web,273,https://github.com/bloxapp/ssv-web/pull/273,2023-06-22T07:31:11,2023-06-22T08:37:38,01:06:27
SchemaStore/schemastore,3007,https://github.com/SchemaStore/schemastore/pull/3007,2023-06-16T22:34:21,2023-06-19T15:49:01,65:14:40
RND247/Pype-Synthetic-Data-for-Testing,26,https://github.com/RND247/Pype-Synthetic-Data-for-Testing/pull/26,2023-06-11T12:55:28,2023-06-11T13:13:28,00:18:00
arrocke/gloss-translation,118,https://github.com/arrocke/gloss-translation/pull/118,2023-07-03T14:40:39,2023-07-03T22:47:14,08:06:35
roslinmahmud/easy-hire-backend,3,https://github.com/roslinmahmud/easy-hire-backend/pull/3,2023-06-10T10:43:50,2023-06-10T12:10:59,01:27:09
temporalio/temporal,4573,https://github.com/temporalio/temporal/pull/4573,2023-07-03T03:31:12,2023-07-03T17:30:12,13:59:00
maro114510/Markdown_Viewer,66,https://github.com/maro114510/Markdown_Viewer/pull/66,2023-06-03T11:46:20,2023-06-03T11:49:26,00:03:06
MrNeRF/gaussian-splatting-cuda,18,https://github.com/MrNeRF/gaussian-splatting-cuda/pull/18,2023-08-22T10:26:50,2023-08-22T10:51:25,00:24:35
SSWConsulting/SSW.Website,956,https://github.com/SSWConsulting/SSW.Website/pull/956,2023-07-06T05:41:59,2023-07-07T04:13:05,22:31:06
SSWConsulting/SSW.Website,1134,https://github.com/SSWConsulting/SSW.Website/pull/1134,2023-07-28T01:11:18,2023-08-01T07:27:00,102:15:42
SWM14-Architect/moview-core-service,28,https://github.com/SWM14-Architect/moview-core-service/pull/28,2023-07-13T12:27:36,2023-07-14T02:03:42,13:36:06
hoshotakamoto/banzukesurfing,10,https://github.com/hoshotakamoto/banzukesurfing/pull/10,2023-07-04T20:54:51,2023-07-04T20:58:30,00:03:39
reworkd/AgentGPT,941,https://github.com/reworkd/AgentGPT/pull/941,2023-07-03T03:32:00,2023-07-03T04:50:22,01:18:22
KudoAI/chatgpt.js,74,https://github.com/KudoAI/chatgpt.js/pull/74,2023-07-11T17:15:39,2023-07-11T17:30:06,00:14:27
daydule/frontend,33,https://github.com/daydule/frontend/pull/33,2023-06-14T11:48:35,2023-06-29T12:08:37,360:20:02
paul-gauthier/aider,144,https://github.com/paul-gauthier/aider/pull/144,2023-07-24T21:56:55,2023-07-28T12:23:57,86:27:02
citusdata/activerecord-multi-tenant,201,https://github.com/citusdata/activerecord-multi-tenant/pull/201,2023-06-05T11:24:19,2023-06-06T07:39:22,20:15:03
gradio-app/gradio,5119,https://github.com/gradio-app/gradio/pull/5119,2023-08-07T14:52:58,2023-08-07T15:33:11,00:40:13
Ayahiro-Inatsugu/ph3-website-private,2,https://github.com/Ayahiro-Inatsugu/ph3-website-private/pull/2,2023-06-08T08:56:02,2023-06-08T08:56:12,00:00:10
VOICEVOX/voicevox,1378,https://github.com/VOICEVOX/voicevox/pull/1378,2023-07-06T23:18:30,2023-07-10T16:15:55,88:57:25
VOICEVOX/voicevox,1400,https://github.com/VOICEVOX/voicevox/pull/1400,2023-07-15T21:26:16,2023-07-29T19:15:23,333:49:07
VOICEVOX/voicevox,1448,https://github.com/VOICEVOX/voicevox/pull/1448,2023-08-01T10:31:13,2023-08-03T21:18:02,58:46:49
ggerganov/llama.cpp,1762,https://github.com/ggerganov/llama.cpp/pull/1762,2023-06-08T15:12:24,2023-06-08T19:28:22,04:15:58
ggerganov/llama.cpp,1862,https://github.com/ggerganov/llama.cpp/pull/1862,2023-06-14T19:56:19,2023-06-16T17:08:44,45:12:25
telosnetwork/open-block-explorer,710,https://github.com/telosnetwork/open-block-explorer/pull/710,2023-06-01T00:17:01,2023-06-09T03:11:11,194:54:10
lfortran/lfortran,1805,https://github.com/lfortran/lfortran/pull/1805,2023-06-12T21:08:47,2023-06-12T23:45:10,02:36:23
dust-tt/dust,487,https://github.com/dust-tt/dust/pull/487,2023-05-24T10:56:09,2023-05-24T11:15:50,00:19:41
wafflestudio/wacruit-server,11,https://github.com/wafflestudio/wacruit-server/pull/11,2023-07-17T17:12:41,2023-07-20T05:41:33,60:28:52
skrub-data/skrub,582,https://github.com/skrub-data/skrub/pull/582,2023-06-09T13:09:31,2023-06-11T20:01:42,54:52:11
dwyl/imgup,65,https://github.com/dwyl/imgup/pull/65,2023-06-13T07:08:14,2023-06-14T03:18:24,20:10:10
bytedeck/bytedeck,1447,https://github.com/bytedeck/bytedeck/pull/1447,2023-07-26T12:56:38,2023-08-09T16:14:59,339:18:21
OSRSB/OsrsBot,296,https://github.com/OSRSB/OsrsBot/pull/296,2023-07-09T00:57:31,2023-07-15T02:28:20,145:30:49
Ludeon/RimWorld-ru,1575,https://github.com/Ludeon/RimWorld-ru/pull/1575,2023-07-10T00:45:33,2023-07-22T16:16:39,303:31:06
databrickslabs/pyspark-ai,11,https://github.com/pyspark-ai/pyspark-ai/pull/11,2023-06-20T22:14:28,2023-06-21T05:21:29,07:07:01
kazuki1023/template_ph3_website_private,10,https://github.com/kazuki1023/template_ph3_website_private/pull/10,2023-06-05T16:42:43,2023-06-05T16:42:51,00:00:08
faker-js/faker,2240,https://github.com/faker-js/faker/pull/2240,2023-07-05T22:43:04,2023-09-10T08:05:56,1593:22:52
PostHog/posthog.com,6444,https://github.com/PostHog/posthog.com/pull/6444,2023-08-04T22:58:59,2023-09-26T22:34:23,1271:35:24
CodeIntelligenceTesting/cifuzz,834,https://github.com/CodeIntelligenceTesting/cifuzz/pull/834,2023-06-14T01:43:08,2023-06-14T08:38:50,06:55:42
PolicyEngine/policyengine-us,2693,https://github.com/PolicyEngine/policyengine-us/pull/2693,2023-07-26T03:57:32,2023-09-29T22:17:23,1578:19:51
snapshot-labs/snapshot,3942,https://github.com/snapshot-labs/snapshot/pull/3942,2023-05-29T13:23:50,2023-08-10T03:21:57,1741:58:07
internetarchive/iaux-collection-browser,259,https://github.com/internetarchive/iaux-collection-browser/pull/259,2023-06-15T20:28:13,2023-06-15T20:33:07,00:04:54
mdn/content,27101,https://github.com/mdn/content/pull/27101,2023-06-01T13:37:07,2023-06-01T13:46:34,00:09:27
astahmer/openapi-zod-client,154,https://github.com/astahmer/openapi-zod-client/pull/154,2023-06-06T14:07:49,2023-06-06T14:37:00,00:29:11
fscarmen2/Argo-Nezha-Service-Container,25,https://github.com/fscarmen2/Argo-Nezha-Service-Container/pull/25,2023-06-17T04:15:13,2023-06-17T06:22:11,02:06:58
dotCMS/core,25470,https://github.com/dotCMS/core/pull/25470,2023-07-11T05:17:19,2023-07-24T14:06:14,320:48:55
binary-com/deriv-app,9010,https://github.com/binary-com/deriv-app/pull/9010,2023-06-14T04:09:20,2023-06-30T03:48:26,383:39:06
osmosis-labs/osmosis-frontend,1942,https://github.com/osmosis-labs/osmosis-frontend/pull/1942,2023-08-02T01:56:36,2023-08-04T01:38:01,47:41:25
roboflow/supervision,171,https://github.com/roboflow/supervision/pull/171,2023-07-03T08:56:40,2023-07-23T18:44:29,489:47:49
openai/evals,764,https://github.com/openai/evals/pull/764,2023-04-23T05:28:48,2023-06-05T17:03:24,1043:34:36
openai/evals,1004,https://github.com/openai/evals/pull/1004,2023-05-21T17:21:54,2023-06-05T17:40:54,360:19:00
VOICEVOX/voicevox_core,534,https://github.com/VOICEVOX/voicevox_core/pull/534,2023-07-01T17:01:58,2023-07-01T17:56:41,00:54:43
VOICEVOX/voicevox_core,553,https://github.com/VOICEVOX/voicevox_core/pull/553,2023-07-28T15:48:55,2023-08-17T23:08:45,487:19:50
VOICEVOX/voicevox_core,558,https://github.com/VOICEVOX/voicevox_core/pull/558,2023-07-31T12:54:35,2023-08-30T15:07:23,722:12:48
ubiquity/ubiquibot,604,https://github.com/ubiquity/ubiquibot/pull/604,2023-08-10T21:25:49,2023-08-22T02:31:44,269:05:55
unoplatform/uno,12440,https://github.com/unoplatform/uno/pull/12440,2023-05-27T00:24:29,2023-05-31T05:57:58,101:33:29
4dn-dcic/foursight-core,49,https://github.com/4dn-dcic/foursight-core/pull/49,2023-06-13T19:22:19,2023-06-15T20:05:45,48:43:26
wahanegi/vibereport,57,https://github.com/wahanegi/vibereport/pull/57,2023-05-04T19:52:40,2023-06-15T12:11:44,1000:19:04
torrust/torrust-index-frontend,179,https://github.com/torrust/torrust-index-gui/pull/179,2023-07-12T16:55:01,2023-07-13T10:49:51,17:54:50
gravitational/teleport,19258,https://github.com/gravitational/teleport/pull/19258,2022-12-09T22:18:30,2022-12-20T20:33:47,262:15:17
decred/dcrdex,2323,https://github.com/decred/dcrdex/pull/2323,2023-04-25T20:39:04,2023-05-04T22:21:25,217:42:21
VOICEVOX/pyopenjtalk,20,https://github.com/VOICEVOX/pyopenjtalk/pull/20,2023-09-08T15:00:43,2023-09-08T15:09:51,00:09:08
Wissididom/Bonbon-Reminder-StreamElements,2,https://github.com/Wissididom/Bonbon-Reminder-StreamElements/pull/2,2023-07-08T20:02:34,2023-07-08T20:19:59,00:17:25
jefftriplett/frontmatter-cli,1,https://github.com/jefftriplett/frontmatter-cli/pull/1,2018-01-23T03:26:01,2018-01-23T03:26:07,00:00:06
open-learning-exchange/myplanet,2302,https://github.com/open-learning-exchange/myplanet/pull/2302,2023-08-15T15:37:52,2023-08-16T16:24:39,24:46:47
open-learning-exchange/myplanet,2259,https://github.com/open-learning-exchange/myplanet/pull/2259,2023-07-28T13:18:59,2023-08-03T18:06:03,148:47:04
labd/terraform-provider-storyblok,39,https://github.com/labd/terraform-provider-storyblok/pull/39,2023-08-29T15:10:41,2023-08-31T11:44:05,44:33:24
mcagov/beacons,534,https://github.com/mcagov/beacons/pull/534,2023-05-03T11:40:08,2023-06-06T15:21:38,819:41:30
PrivateBin/PrivateBin,823,https://github.com/PrivateBin/PrivateBin/pull/823,2021-08-05T17:29:00,2021-08-05T18:17:20,00:48:20
metaphorsystems/metaphor-python,3,https://github.com/metaphorsystems/metaphor-python/pull/3,2023-08-15T16:50:55,2023-08-24T15:53:44,215:02:49
FixMyBerlin/atlas-app,40,https://github.com/FixMyBerlin/atlas-app/pull/40,2023-07-12T10:12:54,2023-07-12T10:13:01,00:00:07
open-learning-exchange/myplanet,2205,https://github.com/open-learning-exchange/myplanet/pull/2205,2023-07-05T12:27:41,2023-07-13T17:45:19,197:17:38
ryoikegata/template-ph3-website,2,https://github.com/ryoikegata/template-ph3-website/pull/2,2023-07-03T06:23:53,2023-07-03T06:24:17,00:00:24
open-learning-exchange/myplanet,2184,https://github.com/open-learning-exchange/myplanet/pull/2184,2023-06-20T10:24:37,2023-07-27T16:21:44,893:57:07
energietransitie/twomes-p1-reader-firmware,18,https://github.com/energietransitie/twomes-p1-reader-firmware/pull/18,2023-10-06T19:20:15,2023-10-06T19:20:22,00:00:07
ActivityWatch/aw-webui,448,https://github.com/ActivityWatch/aw-webui/pull/448,2023-05-22T10:02:12,2023-05-29T18:32:17,176:30:05
bancaditalia/black-it,63,https://github.com/bancaditalia/black-it/pull/63,2023-09-01T11:03:38,2023-09-01T15:16:55,04:13:17
Altinity/clickhouse-backup,687,https://github.com/Altinity/clickhouse-backup/pull/687,2023-07-07T22:53:22,2023-07-08T14:41:23,15:48:01
StreamSG/ABCWorkshop,36,https://github.com/StreamSG/ABCWorkshop/pull/36,2023-04-20T03:40:53,2023-07-07T02:23:06,1870:42:13
laravel-json-api/core,11,https://github.com/laravel-json-api/core/pull/11,2023-06-04T16:28:12,2023-06-05T18:03:58,25:35:46
open-learning-exchange/myplanet,2292,https://github.com/open-learning-exchange/myplanet/pull/2292,2023-08-11T13:36:16,2023-08-16T16:39:07,123:02:51
tic-oss/jhipster-blueprints,30,https://github.com/tic-oss/jhipster-blueprints/pull/30,2023-09-11T06:32:15,2023-09-14T11:04:45,76:32:30
JJConsulting/JJMasterData,143,https://github.com/JJConsulting/JJMasterData/pull/143,2023-06-29T13:35:13,2023-06-29T13:37:17,00:02:04
